,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",154226,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"Cold Heart - PNAU Remix","Elton John",125973,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
3,"STAY (with Justin Bieber)","The Kid LAROI",118866,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",112679,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
5,Shivers,"Ed Sheeran",107667,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
6,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",104700,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",104481,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,abcdefu,GAYLE,102859,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
9,"Nail Tech","Jack Harlow",101171,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
10,"THATS WHAT I WANT","Lil Nas X",100190,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
11,Ghost,"Justin Bieber",93920,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
12,"pushin P (feat. Young Thug)",Gunna,91718,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
13,"Bad Habits","Ed Sheeran",88368,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
14,Boyfriend,"Dove Cameron",87272,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
15,"Easy On Me",Adele,86621,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
16,"I'm Tired - From ""Euphoria"" An HBO Original Series",Labrinth,84214,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w
17,"The Motto",Tiësto,84205,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
18,"she's all i wanna be","Tate McRae",78992,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
19,"Super Gremlin","Kodak Black",78898,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
20,"good 4 u","Olivia Rodrigo",75989,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
21,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",74748,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
22,"Where Are You Now","Lost Frequencies",74328,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
23,"Numb Little Bug","Em Beihold",73694,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
24,Woman,"Doja Cat",72047,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
25,Lost,"Frank Ocean",70999,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
26,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,70081,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
27,"Still D.R.E.","Dr. Dre",69924,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
28,"I Love You So","The Walters",66189,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
29,"Light Switch","Charlie Puth",65993,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
30,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,65965,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
31,"Mount Everest",Labrinth,64283,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
32,"City of Gods","Fivio Foreign",63660,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
33,"Fingers Crossed","Lauren Spencer-Smith",63168,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
34,"One Right Now (with The Weeknd)","Post Malone",62145,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
35,"edamame (feat. Rich Brian)",bbno$,61259,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
36,Infinity,"Jaymes Young",60951,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
37,"Do It To It",ACRAZE,59982,https://open.spotify.com/track/20on25jryn53hWghthWWW3
38,"MIDDLE OF THE NIGHT","Elley Duhé",59155,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
39,"Levitating (feat. DaBaby)","Dua Lipa",58894,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
40,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,58793,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
41,"Kiss Me More (feat. SZA)","Doja Cat",58403,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
