,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",154225,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"Cold Heart - PNAU Remix","Elton John",124245,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
3,"STAY (with Justin Bieber)","The Kid LAROI",117367,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",116297,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
5,Shivers,"Ed Sheeran",101398,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
6,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",101121,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",100745,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,"THATS WHAT I WANT","Lil Nas X",95297,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
9,abcdefu,GAYLE,94243,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
10,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",93749,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
11,"Nail Tech","Jack Harlow",86947,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
12,Ghost,"Justin Bieber",86801,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,"Bad Habits","Ed Sheeran",85224,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
14,Boyfriend,"Dove Cameron",81878,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
15,"pushin P (feat. Young Thug)",Gunna,80759,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
16,"The Motto",Tiësto,78001,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
17,"Easy On Me",Adele,77561,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
18,"I'm Tired - From ""Euphoria"" An HBO Original Series",Labrinth,75261,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w
19,Woman,"Doja Cat",72376,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
20,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",71933,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
21,"good 4 u","Olivia Rodrigo",71499,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,"Super Gremlin","Kodak Black",69868,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
23,"Where Are You Now","Lost Frequencies",69114,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
24,"Still D.R.E.","Dr. Dre",64907,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
25,"she's all i wanna be","Tate McRae",62966,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
26,Lost,"Frank Ocean",62922,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
27,Attention,"Omah Lay",62301,https://open.spotify.com/track/6tTeRmhhuwDl5Y4UiJdHuO
28,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,61582,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
29,"Light Switch","Charlie Puth",60816,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
